mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank,benchmark,rank
131764,L3:Q9NPC1:131764,0,52,7,7.0269,CCCCC(=O)N1CCC2(CC1)CN(c1ccccc1-c1nnn[nH]1)C2,-7.38932,7.38932,-80.03874848373131,31.59483300242912,-39.12962473115781,-31096.114762770965,fixed_pocket_aimnet2025_minimized_v2,-351045.6430108523,-319945.4676965147,-351043.2792804114,450,0.0019132165471091,True,-31132.96451331663,-31096.704505704965,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-31133.584274481,-31134.940000955918,14.292031974497569,31.263795219996855,-34.48292128923689,461,0,7,0.0019034839933738,True,,1.0,7.0,t3/L3/Q9NPC1,1
72366,L3:Q9NPC1:72366,0,49,3,7.0969,CCCCC(=O)N1CC2(CCN(c3ccccc3-c3nnn[nH]3)C2)C1,-7.50139,7.50139,-76.89027745583901,37.48410659838527,-31.617160794435303,-30026.737996250464,fixed_pocket_aimnet2025_minimized_v2,-349976.4961110017,-319945.4676965147,-349973.57674262166,880,0.0018809355096891,True,-30062.689019939004,-30027.694136480248,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-30063.304591619475,-30064.10584639224,14.195420180686982,18.47737401181428,-44.21748326333776,431,0,7,0.0018403953872621,True,,2.0,2.0,t3/L3/Q9NPC1,2
16466,L3:Q9NPC1:16466,0,48,0,7.7201,CCCCC[C@H](O)/C=C/C=C/C/C=C\CCCC(=O)O,-7.24344,7.24344,-76.3651951017159,12.222563855612483,-33.20259941071844,-24213.045702488347,fixed_pocket_aimnet2025_minimized_v2,-344163.47689760174,-319945.4676965147,-344159.953199985,354,0.0019206375582143,True,-24242.385251801574,-24214.69769280622,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-24242.58215225676,-24243.482407771324,4.540632364700112,20.76038535336939,-51.0641773836464,1000,0,15,0.0073005193844437,False,,3.0,1.0,t3/L3/Q9NPC1,3
145653,L3:Q9NPC1:145653,0,52,9,6.9957,CCCCC(=O)N1CCC2(CCN(c3ccccc3-c3nnn[nH]3)C2)C1,-7.43788,7.43788,-75.21638283451577,33.655204285981995,-38.2860610676504,-31097.318128854145,fixed_pocket_aimnet2025_minimized_v2,-351046.5078136572,-319945.4676965147,-351044.446066112,462,0.001960995607078,True,-31134.10422332573,-31097.77842607662,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-31134.709584912584,-31135.482179660878,13.959969828489074,17.816458146636514,-43.43995485939018,1000,0,7,0.0116746965795755,False,,4.0,3.0,t3/L3/Q9NPC1,4
18761,L3:Q9NPC1:18761,0,45,1,7.2291,CCc1cc(N2Cc3ccc(-c4ccccc4-c4nnn[nH]4)cc3C2)no1,-8.87467,8.87467,-63.960588047206336,61.896699605506825,-28.146827798981032,-32001.539079007216,fixed_pocket_aimnet2025_minimized_v2,-351950.2502193916,-319945.4676965147,-351948.22733749665,335,0.0019911967683583,True,-32039.679661501614,-32002.00892926948,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-32040.2262980518,-32040.60003381928,12.605738311510654,8.618551541984646,-42.73629819371104,387,0,5,0.0018701906083151,True,,5.0,4.0,t3/L3/Q9NPC1,5
119020,L3:Q9NPC1:119020,0,54,6,6.8416,CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nn[nH]n1,-5.95132,5.95132,-63.354670079853626,53.83384409553343,-30.196496675038365,-32243.706831632797,fixed_pocket_aimnet2025_minimized_v2,-352192.4728308888,-319945.4676965147,-352190.483972177,595,0.0013371323002502,True,-32281.24530938084,-32244.25781585653,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-32281.91481471295,-32282.56437296504,15.439159734040503,14.9791691410358,-32.93634120477732,467,0,15,0.0017187547637149,True,,6.0,8.0,t3/L3/Q9NPC1,6
21838,L3:Q9NPC1:21838,0,46,2,7.5086,CCCCC(=O)N1CC2(C1)CN(c1ccccc1-c1nnn[nH]1)C2,-7.56807,7.56807,-63.19838999096103,34.343610234680526,-12.142901184535692,-28956.876716785737,fixed_pocket_aimnet2025_minimized_v2,-348906.1775391246,-319945.4676965147,-348902.8709793332,344,0.0019799647852778,True,-28991.936633196,-28957.969301038454,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-28992.615719353045,-28993.05686552421,15.66009880571676,10.173072380344683,-37.36521880489959,476,0,7,0.0019645558204501,True,,7.0,5.0,t3/L3/Q9NPC1,7
132810,L3:Q9NPC1:132810,0,54,8,7.2007,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1C(O)=O)c1ccccc1,-5.9108,5.9108,-55.64143376729603,70.92524005796643,-23.383584817711665,-33947.99428630183,fixed_pocket_aimnet2025_minimized_v2,-353896.5035539146,-319945.4676965147,-353894.4759910261,368,0.0015802877023816,True,-33988.14956343085,-33948.62301646588,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-33988.42991756498,-33989.06623548275,6.465119919553565,14.673839778250048,-34.502474069492415,241,0,11,0.0017557088285684,True,,8.0,6.0,t3/L3/Q9NPC1,8
75604,L3:Q9NPC1:75604,0,52,4,6.2518,CCCCC(=O)N1CC2(CCN(c3ccccc3-c3nnn[nH]3)CC2)C1,-6.38373,6.38373,-54.03849942411624,18.86740876916933,-30.23668710005103,-31096.468690294383,fixed_pocket_aimnet2025_minimized_v2,-351045.392818136,-319945.4676965147,-351043.2475736604,304,0.0015731418970972,True,-31133.92593385267,-31097.581790499247,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-31134.487611311743,-31134.92647216425,12.95258991028225,10.120371680325947,-30.965537833508044,557,0,7,0.0018515160772949,True,,9.0,9.0,t3/L3/Q9NPC1,9
92711,L3:Q9NPC1:92711,0,45,5,6.2154,CCCCC(=O)N1Cc2ccc(-c3ccccc3C(=O)O)cc2C1,-5.35146,5.35146,-44.33649290222616,61.31173937234644,-23.483491551309704,-28700.511116200683,fixed_pocket_aimnet2025_minimized_v2,-348648.57444352953,-319945.4676965147,-348646.9971532909,675,0.0019071856513619,True,-28734.445547882853,-28701.184134714927,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-28734.76878274491,-28735.15071413153,7.453972997025836,8.807547009221755,-28.07497289597857,263,0,8,0.0019570784643292,True,,10.0,10.0,t3/L3/Q9NPC1,10
